,10_1,10_2,10_3,10_4,10_5,10_6,10_7,10_8,10_9,10_10
2-4B-rep2,1.7256813125054585e-06,3.223917351008636e-07,4.772748508385518e-07,0.33164119427229954,0.35955947233597324,0.20950259215283515,0.09929105292451763,6.125817723036763e-07,1.0182177358512375e-06,1.532166967790986e-06
2-4C-rep2,2.544631480061564e-06,4.7538798276621617e-07,7.037734031680458e-07,0.2199725610914872,0.0204620375720578,0.3117979252657858,0.44767204383463977,9.032924275297842e-07,1.501429542887209e-06,8.930372119306578e-05
2-5A-rep1,2.077085851494474e-06,3.8804112136124204e-07,5.74463449749941e-07,0.13493516339030764,0.470931833485829,3.871683519905325e-06,2.0339523521631964e-06,0.39412098817203745,1.2255598050179693e-06,1.8441657262344497e-06
2-5A-rep2,1.3944461379534462e-06,2.60510388947083e-07,3.8566453010252476e-07,0.12087783325669398,0.49255324882107154,2.5992445751943674e-06,1.365488576321778e-06,0.38656085171584276,8.227763603072392e-07,1.2380758228377844e-06
2-5B-rep1,1.416335291515596e-06,2.645997200105023e-07,3.9171845351564286e-07,0.418554670622326,0.2867715822484493,2.6400459099347086e-06,1.3869231719801917e-06,0.2946655543045108,8.356917950507453e-07,1.257510371846221e-06
2-5B-rep2,1.8740293849008884e-06,0.9230495820904839,5.18303749750321e-07,8.294516472565423e-06,0.008594938909052798,3.493186706807812e-06,1.8351126279636357e-06,0.0683366942231764,1.105748751744934e-06,1.6638795931828338e-06
2-5C-rep1,1.579996620268418e-06,2.9517492492416634e-07,4.3698256787006847e-07,0.29602289107976104,0.16198321558030337,2.945110271584564e-06,1.5471858517030583e-06,0.5419847538124267,9.322582157458621e-07,1.402819056597399e-06
2-5C-rep2,3.837257713721467e-06,7.168763800076926e-07,1.0612774152873623e-06,0.3254140491080457,0.16408672165924523,7.152640051520045e-06,3.7575718630332756e-06,0.5104770325254613,2.264128279554983e-06,3.406955544607021e-06
2-6A-rep2,2.6297853265942446e-06,4.912964220216227e-07,7.273245589392163e-07,0.3136028039795603,0.6088378537251028,4.901914142132351e-06,0.0774558145896172,9.089082509107572e-05,1.5516735573452697e-06,2.334886621643466e-06
2-6B-rep2,1.8319859964980573e-06,3.422515732258792e-07,5.066757325820902e-07,0.540071546211194,0.2856405272070602,3.4148179220591702e-06,0.1742784730403341,6.503177732978705e-07,1.080941550417076e-06,1.6265508636787177e-06
2-6C-rep2,1.630491273722201e-06,3.0460833468662525e-07,0.0360306892085163,0.39048352939831926,0.5545129386398451,3.0392321960489182e-06,0.018964879926941305,5.7879124433021e-07,9.620519855107188e-07,1.4476513437128072e-06
2-7A-rep1,3.346201709805062e-06,6.25137310929835e-07,9.254651541681261e-07,0.04133625117751347,0.8694758852345849,0.07932966794615733,3.27671330175089e-06,0.0006879707827654719,1.9743865243070324e-06,0.00916007695497793
2-7A-rep2,1.9317360853416503e-06,3.6088688206634017e-07,5.3426379790386e-07,0.047717639319916856,0.8516320753738422,0.07216194647998685,1.8916209706556887e-06,0.0022473741471324736,1.1397979040654914e-06,0.026235106373481656
2-7B-rep1,3.055558683621526e-06,5.708393888122019e-07,8.450814784779637e-07,1.352400449981709e-05,0.7977180864894227,0.09020798526975844,2.992105871431871e-06,1.084661194524491e-06,1.8028960631674319e-06,0.11205005309363907
2-7B-rep2,1.7288450066235832e-06,3.229827763485606e-07,4.781498395328053e-07,7.651925578909844e-06,0.8345114898387418,0.08794255523229387,1.6929431998285359e-06,6.137048193783958e-07,1.0200844359415374e-06,0.07753244629330773
2-7C-rep2,1.5328569870176497e-06,2.863682999432949e-07,4.2394507290196245e-07,0.4566070874957972,0.49802759177291,0.04535876699313772,1.5010251367468012e-06,5.44133058051166e-07,9.044440357523568e-07,1.3609655646361592e-06
2-8A-rep2,1.780330110499549e-06,0.9999769088094386,4.923891692947606e-07,7.879800363388492e-06,4.613649153979265e-06,3.318531462651325e-06,1.7433591458302586e-06,6.319809842479035e-07,1.0504626091991132e-06,1.580687562242149e-06
2-8B-rep2,1.3615193284252292e-06,2.543590033011867e-07,3.76557901901659e-07,0.7221299258628642,0.1658521711405807,0.11080116782487746,0.0008396583145590395,4.833116735914122e-07,8.033482879258155e-07,0.0003737977609233925
2-8C-rep1,3.431031163040145e-06,6.409851470383512e-07,9.489265918890389e-07,0.8708678907822293,8.891370161792624e-06,0.12910854845572522,3.359781156561066e-06,1.2179462890704667e-06,2.0244391343576795e-06,3.0462824018411985e-06
2-8C-rep2,1.6114373725386123e-06,3.0104868539419654e-07,4.456781944850558e-07,0.8531944891209913,4.175970864424259e-06,0.1467944451991353,1.5779736941929247e-06,5.720274968921645e-07,9.508094577150628e-07,1.430734107726365e-06
2-9A-rep1,0.07245364745765986,4.2823455520515103e-07,0.007528047496602692,1.0145491297687827e-05,0.9199970125920024,4.272713840805254e-06,2.2446298417590192e-06,8.136954339328075e-07,1.3525037143952598e-06,2.0351850513373797e-06
2-9A-rep2,0.08226839451759273,1.6616088850295789e-07,2.45987736784379e-07,3.4360963142840645e-05,0.9141025973208294,1.657871648790632e-06,0.0035605226102044933,3.157250031079436e-07,3.094916320358672e-05,7.89679749772069e-07
2-9B-rep1,3.248050654274319e-06,6.0680073344868e-07,8.983193364272657e-07,0.20922765717848524,0.7906412950415684,6.0543593712910356e-06,0.00011428696331002568,1.1529919295693735e-06,1.9164736612484274e-06,2.883820950095194e-06
2-9B-rep2,1.204699654570343e-06,2.250619561664375e-07,3.331859966111192e-07,0.3151738302471202,0.6848187734955933,2.245557541918504e-06,1.1796824355144178e-06,4.276438784742261e-07,7.108187043391319e-07,1.0696071189193296e-06
2-9C-rep1,2.4233418796554516e-06,4.5272866297104203e-07,6.702281155633208e-07,1.0725791869332321e-05,0.9999743960931026,4.517104005021126e-06,2.373017905193651e-06,8.60237085943621e-07,1.4298640565990663e-06,2.1515933172399455e-06
2-9C-rep2,6.986458059918476e-07,1.3052099016337966e-07,1.932257540412371e-07,3.0922296058845433e-06,0.9999926184322893,1.3022742663060337e-06,6.841374801160217e-07,2.4800505339288285e-07,4.122276492095535e-07,6.203011056382595e-07
3-10A-rep2,0.5522538722703642,4.3315937407278575e-07,6.412573684161903e-07,0.024993637064431643,0.13872322343776708,0.0003215710563046849,0.11373611045149919,0.08438911159449784,0.08557934111813618,2.058590256774743e-06
3-10B-rep1,0.681577418878191,7.033963739930338e-07,1.041321358231693e-06,0.0799972462903487,0.23840598407462035,7.018143179250177e-06,3.6869152020987116e-06,1.3365348751196256e-06,2.2215540454505856e-06,3.342891805706201e-06
3-10B-rep2,0.6207989065786751,4.6861676252076203e-07,6.93749160047691e-07,0.11310158635258839,0.2337382749000737,0.03235301593425971,2.4562968044432802e-06,8.904263219600459e-07,1.4800438316650546e-06,2.227101522509041e-06
3-10C-rep1,0.8956500479195018,5.92193907962197e-07,8.766951144133086e-07,0.061169579466482236,0.04316408108801631,5.90861964835713e-06,3.1040374994564483e-06,1.1252372632115624e-06,1.8703405655281922e-06,2.8144020007921822e-06
3-10C-rep2,0.861819628057122,4.448736463568281e-07,6.58599399703994e-07,0.09409361342012182,0.04407451984471719,4.4387305113379075e-06,2.331845130868303e-06,8.453116412900706e-07,1.4050553646842552e-06,2.114262344769505e-06
3-11A-rep2,0.42591772178594567,5.669284684952255e-07,0.0011427017237458958,0.0008438767543242888,0.0171358005803577,0.5406256152799738,2.971606431707719e-06,1.077229991307193e-06,1.7905441074667048e-06,0.014327877566653817
3-11B-rep2,0.10578343579746641,5.103489112305221e-07,7.555302260058227e-07,1.2090898258299727e-05,0.00953855612569131,0.8483999788295944,0.036259665466503735,9.697222555566914e-07,1.6118475019984916e-06,2.425433591189496e-06
3-12A-rep2,3.2613295557489407e-07,6.092814974551124e-08,9.01991906602693e-08,0.04697961020220135,0.014425630146001392,6.079111214824487e-07,0.9385930767178627,1.157705669551734e-07,1.9243087191447492e-07,2.895610782934275e-07
3-12B-rep2,2.904668915201438e-06,5.426501664468668e-07,8.033496180273202e-07,0.35433158819747573,0.025245036561411034,0.12609360020621033,0.494320200457127,1.031098395245481e-06,1.7138653497613994e-06,2.5789453313250987e-06
3-12C-rep2,7.564800283478589e-07,1.4132557798527199e-07,2.0922107116514645e-07,0.3810160138715172,0.003702368643520823,0.2192829455872702,0.3959961783340262,2.6853502620646873e-07,4.46352044319655e-07,6.71649917530478e-07
3-1A-rep1,3.5168855254016644e-06,0.6827168996185355,9.72671490609905e-07,1.55658524661361e-05,0.05330308662796008,6.555466987700209e-06,3.4438526368723117e-06,1.2484228417655087e-06,2.0750964798496917e-06,0.2639466355050761
3-1A-rep2,1.875833141766822e-06,3.504430956929639e-07,5.188026181004033e-07,0.2342171010635766,0.11589009133455974,3.4965489056917567e-06,1.8368789273766123e-06,6.658826181881473e-07,1.106813037032575e-06,0.6498829563995198
3-1B-rep1,2.605874744793457e-06,0.8019876087372312,7.207115654045843e-07,1.153368840973359e-05,0.013199383227457869,0.026835814741139715,2.5517602283034098e-06,9.250325410601655e-07,0.061151161398762845,0.09680769482791923
3-1B-rep2,1.6886982646032019e-06,3.154825631140521e-07,4.6704638133888654e-07,0.1573028066744069,0.258735846625133,0.04956590763927116,1.6536301592504149e-06,5.994535423895075e-07,0.172719705171407,0.36167100957887116
