,12_1,12_2,12_3,12_4,12_5,12_6,12_7,12_8,12_9,12_10,12_11,12_12
4-1C-rep1,0.022729866296548256,2.5976561916017256e-06,3.7255872005635285e-07,8.700458959503431e-06,0.0006742324013195561,2.032759337409586e-06,2.9998213128391673e-07,5.821849804421576e-07,8.14841094927255e-07,1.4509480286610712e-06,1.585742515101296e-06,0.9765774641701732
4-1C-rep2,0.01801324111881659,7.908373633532488e-07,1.1342276811541989e-07,0.0009487329164578014,0.004880033726908908,6.188586618683561e-07,9.132735830270882e-08,1.7724194464427785e-07,2.4807239123773373e-07,4.4173047882883403e-07,4.827676709698049e-07,0.9761550279791794
4-2A-rep1,1.6992103401723985e-06,0.8124429968919252,3.5598649030796077e-07,0.1871945148935212,0.0003531272203388637,1.9423377395534266e-06,2.8663826753192234e-07,5.562881144380784e-07,7.78595174199582e-07,1.3864066750717343e-06,1.515205206839992e-06,8.403262066523256e-07
4-2A-rep2,3.12723427379844e-06,0.9051296988185982,6.551591213759461e-07,0.09473894347143161,6.976251818693024e-06,3.5746870218594556e-06,5.275303434871333e-07,1.0237951220335482e-06,1.4329300243805983e-06,2.551549016154987e-06,0.00010994203313710832,1.546540091291795e-06
4-2B-rep1,1.4504269130574926e-06,0.6821113303175262,3.038660806261104e-07,0.3129076133006962,3.235620520943041e-06,1.6579577378335136e-06,2.446712144526456e-07,0.004970305162753365,6.646001194420606e-07,1.1834212083258496e-06,1.293362192336115e-06,7.172930372777658e-07
4-2B-rep2,0.002074590192295436,0.6842574813089918,8.439905099277096e-07,0.30342600593997765,8.986962308449987e-06,0.008148814028781566,6.795762877680542e-07,1.3188755813883725e-06,1.845932236168526e-06,0.0020738485817792976,3.5923240066208997e-06,1.9922872439472856e-06
4-2C-rep1,1.4333307278290982e-06,0.5324308060137845,3.002844104624899e-07,0.030407655816267195,0.29364689001727956,1.6384153863150208e-06,2.41787274307381e-07,4.6924434785943603e-07,6.567664763660071e-07,1.169472219928978e-06,1.2781173293178402e-06,0.14350746073449644
4-2C-rep2,1.2251430493000611e-06,0.5942151139425462,2.5666885607656576e-07,4.797309428921626e-05,0.2784077324856523,1.4004396776243956e-06,2.0666828162928714e-07,4.0108778807390137e-07,5.61372799669056e-07,0.057176453352264435,1.0924740060344364e-06,0.07014758327078946
4-3A-rep1,1.1501148152375913e-06,0.057892367288536965,2.4095035608486197e-07,0.2426026799525711,2.5656826029095178e-06,0.0446508372595993,1.9401183615034543e-07,7.919298147472458e-05,0.6163846247229632,0.03838455268785116,1.0255704754803968e-06,5.687769177565086e-07
4-3B-rep1,0.027161603548583258,3.6182070960407425e-06,5.189272579480864e-07,0.32821318893282153,5.525630505497279e-06,0.09387156262689735,4.178372332743667e-07,8.109101713515445e-07,0.49327877152032257,2.020987407902794e-06,0.04133500450642348,0.016126956365279794
4-3B-rep2,0.024304367710810282,1.7210535449723798e-06,2.4683540028751686e-07,0.2722257093168989,2.6283476089856548e-06,0.07618094578359255,1.9875043977864177e-07,3.857213774706002e-07,0.5482756506142723,9.613124540388327e-07,0.07900660188470367,5.82668896821557e-07
4-3C-rep1,0.01438201702518544,2.2875221785348385e-06,3.2807895736578095e-07,0.23487047564225544,3.493443574732121e-06,1.7900683250469006e-06,2.6416728306642677e-07,5.126779514074715e-07,0.7427402812828233,0.007996379221752297,1.3964208136809468e-06,7.744488996959882e-07
4-4B-rep1,2.722310014662624e-07,3.976590702300636e-07,5.7032703058506405e-08,0.08814053947496316,6.072944502417674e-07,3.1118251550346514e-07,4.592240335640419e-08,8.912308671679351e-08,1.2473896785941549e-07,0.9118571779604396,2.4275148351739446e-07,1.3462891520075032e-07
4-4C-rep1,2.5035263597425716e-06,3.657004379183704e-06,5.244916071472362e-07,0.22167381074772827,5.584880693663609e-06,2.8617373703136994e-06,4.2231761513663104e-07,8.196053926825345e-07,1.1471408195287041e-06,0.7783051980330278,2.2324229591012547e-06,1.2380920474643154e-06
4-4C-rep2,3.355940222611431e-06,0.029097362395958126,7.030732766195098e-07,0.20423859050489526,7.486450336508124e-06,3.836116807882755e-06,5.66110544767776e-07,1.0986689607915224e-06,1.5377253777554286e-06,0.7666408108393542,2.9925301058541666e-06,1.6596441596117553e-06
4-5A-rep1,2.773569255491755e-06,4.051467192997958e-06,5.81065899580389e-07,0.10483745171420122,6.187293905356616e-06,3.170418700288842e-06,4.678709089030732e-07,0.8951379378712528,1.2708771754620508e-06,2.262989365517499e-06,2.4732232838378606e-06,1.3716388585055532e-06
4-5A-rep2,1.5436100954887255e-07,2.2548150359938283e-07,3.233880628581956e-08,0.046328146804795,3.443494088764328e-07,1.7644738104166833e-07,2.6039020188094114e-08,0.9536704835202178,7.072975856958009e-08,1.2594505162183506e-07,1.3764546970553365e-07,7.633757783987296e-08
4-5B-rep1,0.00010186459534889861,2.1400765042120623e-06,3.0693213590375056e-07,0.2443294324086055,3.268268427396559e-06,1.6746867852537277e-06,2.471399844674279e-07,0.7555571682810138,6.713060364023774e-07,1.1953621095083128e-06,1.3064124148800118e-06,7.245306338467164e-07
4-5B-rep2,7.933968615574732e-07,1.1589475724332425e-06,1.662175408716853e-07,0.19723416876806715,1.7699141841595215e-06,9.069181314480315e-07,1.338374046376302e-07,0.8027587912686712,3.635423779089459e-07,6.47342285318629e-07,7.074810147403076e-07,3.9236588860141263e-07
